symbol,hurst_exponent
NTES,0.43969716266906383
PFE,0.4397201335853842
PSX,0.4397466414871777
NKE,0.44134320452890097
PANW,0.44199631069659645
SYK,0.44230818995811366
DOW,0.44237518334718573
AEIS,0.4432624875065741
DHR,0.44377020718577703
MNDY,0.4442137388929297
AAPL,0.44558440297730223
AAON,0.44574051624375505
HELE,0.44583857996221815
MRVL,0.4461142900418877
WMT,0.44680580474054243
QCOM,0.4476865569465642
KHC,0.4477683925860751
BIIB,0.4483941862579268
BMY,0.4486843555807836
KRG,0.4489083904010801
AIT,0.4490144957694205
CWEN,0.4499576965382355
COP,0.4501254960397951
XOM,0.4503865976779315
PLUS,0.4523213319459488
MRNA,0.4551690748779675
ADSK,0.45566196778029067
ORCL,0.45578531343103496
ADTN,0.45733061793468843
TJX,0.45812573524043776
ILMN,0.45836526798032007
AMT,0.45883462653537155
PLAB,0.4595753579253316
LECO,0.4598315594285917
TILE,0.4599283377692373
CBT,0.4611364520373213
BLK,0.4612474641036192
NFLX,0.4613883240914232
GATX,0.46222247507723746
ROST,0.46225455742560445
MTX,0.46230472525124017
WWD,0.4626086866615631
MCD,0.46552896458422593
CRVL,0.46584527869053904
FORM,0.46699653390890555
GNTX,0.46727171205910273
RTX,0.4684507991315692
IBKR,0.4690122838703234
ANDE,0.4701038210066823
REGN,0.47033419676051025
SIG,0.47136326696299446
UNP,0.4728241338180463
FAST,0.4732178749408633
CADE,0.47364796534187115
PIPR,0.47514397775949585
TGT,0.4753259416222849
DD,0.4754556325539941
SLB,0.4757378562998763
RYAN,0.47707414008475246
VRTX,0.47942423285566343
GFF,0.4806653666805502
EBAY,0.48074360452449116
CTAS,0.4817478298507409
PECO,0.483758113666059
SNPS,0.483854685930549
HON,0.4851054923656136
SLGN,0.4864948238463032
APOG,0.48831788766186646
GILD,0.48958597508398877
UPS,0.48996039718810785
KO,0.4902418884522774
PRIM,0.4902571941019497
MELI,0.49170738047186746
MMM,0.4928377319663137
BCC,0.4974252664637238
CDNS,0.49865927404509797
SANM,0.49912208557008964
